"","glotto","Language","area","numVowels","specH.mean","autotyp.area","family"
"164","wari1268","Wari'",215225,6,0.0156293154079254,"NE South America","Chapacuran"
"165","nort2646","Pashto",256300,9,0.00676218653302253,"Indic","Indo-European"
"166","chic1272","Chichimeca",399895.5,7,0.0113429257571873,"Mesoamerica","Otomanguean"
"167","west2369","Persian",413235.5,6,0.00682989562567987,"Greater Mesopotamia","Indo-European"
"168","poli1260","Polish",221402,6,0.00646963003535354,"Europe","Indo-European"
"169","port1283","Portuguese",271436,7,0.00918979493570319,"Europe","Indo-European"
"170","paic1239","Paici",409311.5,10,0.0150983943958819,"Oceania","Austronesian"
"171","para1301","Wa",454864.5,9,0.0127122379887335,"Southeast Asia","Austroasiatic"
"172","dari1249","Dari",345450.5,8,0.00492145081759907,"Inner Asia","Indo-European"
"173","paiw1248","Paiwan",246159,4,0.0170971378360528,"Southeast Asia","Austronesian"
"174","cald1236","Quichua",145622,3,0.0139148980205905,"Andean","Quechuan"
"175","cusc1236","Quechua",219551,5,0.00832723922397047,"Andean","Quechuan"
"176","roma1327","Romanian",354269,7,0.00701373831332556,"Europe","Indo-European"
"177","megl1237","Megleno-Romanian",361207,10,0.00821199616239316,"Europe","Indo-European"
"178","russ1263","Russian",270000,6,0.0053805347553613,"Inner Asia","Indo-European"
"179","sara1319","Kaba",307833.5,6,0.0150971361726884,"African Savannah","Central Sudanic"
"180","sici1248","Sicilian",185146,5,0.0114262408830614,"Europe","Indo-European"
"181","tach1250","Tachelhit",73300,3,0.00590453776398601,"N Africa","Afro-Asiatic"
"182","sala1266","Albanian",191120,7,0.01047456596892,"S Africa","Atlantic-Congo"
"183","saki1248","Sakurabiat",288033.5,10,0.0150847083840326,"NE South America","Tupian"
"184","slov1269","Slovak",370930.5,11,0.00756727421969697,"Europe","Indo-European"
"185","slov1268","Slovenian",335428,13,0.00816717954778555,"Europe","Indo-European"
"186","shon1251","Shona",256905,5,0.00992814090384615,"S Africa","Atlantic-Congo"
"187","sele1249","Sele",343948.5,7,0.0175536528574204,"African Savannah","Atlantic-Congo"
"188","soma1255","Somali",458243.5,19,0.0141365258430458,"Greater Abyssinia","Afro-Asiatic"
"189","sout2807","Sotho",561080.5,9,0.00833771688675214,"S Africa","Atlantic-Congo"
"190","stan1288","Spanish",180393,5,0.00720625018162393,"Europe","Indo-European"
"191","camp1261","Sardinian",271027.5,7,0.0103035874133644,"Europe","Indo-European"
"192","swat1243","Siswati",279734.5,5,0.0112201079646465,"S Africa","Atlantic-Congo"
"193","sund1252","Sundenese",388990.5,7,0.0186173148873349,"Southeast Asia","Austronesian"
"194","swed1254","Swedish",280990.5,16,0.00609368658255633,"Europe","Indo-European"
"195","ticu1245","Ticuna",377193,7,0.0176327397863248,"NE South America","Ticuna-Yuri"
"196","toda1252","Toda",193213,9,0.0180547997804973,"Indic","Dravidian"
"197","hueh1236","Huehuetla Tepehua",110109.5,5,0.0135397317084305,"Mesoamerica","Totonacan"
"198","telu1262","Telugu",281748.5,11,0.0124097338879176,"Indic","Dravidian"
"199","thai1261","Thai",544662.5,27,0.0180662993783994,"Southeast Asia","Tai-Kadai"
"200","tali1258","Lubwisi",366442.5,10,0.0144951757867133,"S Africa","Atlantic-Congo"
"201","papa1238","Totonac",207740.5,3,0.0135397317084305,"Mesoamerica","Totonacan"
"202","taro1264","Truku",296322,6,0.017203714020979,"Southeast Asia","Austronesian"
"203","taus1251","Tausug",257436,3,0.0186642353787879,"Oceania","Austronesian"
"204","tswa1253","Setswana",279887.5,7,0.00696384703885004,"S Africa","Atlantic-Congo"
"205","tsou1248","Tsou",296506,6,0.0170971378360528,"Southeast Asia","Austronesian"
"206","nucl1301","Turkish",242437,8,0.00578964780167055,"Greater Mesopotamia","Turkic"
"207","udmu1245","Udmurt",243326.5,7,0.00539649439718337,"Inner Asia","Uralic"
"208","uigh1240","Uyghur",226369.5,8,0.00322299008548951,"Inner Asia","Turkic"
"209","ukra1253","Ukrainian",361000,6,0.00698520402583528,"Inner Asia","Indo-European"
"210","urdu1245","Urdu",374829,11,0.0170040345957653,"Indic","Indo-European"
"211","vene1258","Venetian",366253.5,7,0.00775738276670552,"Europe","Indo-European"
"212","viet1252","Vietnamese",390569.5,10,0.0159176864656177,"Southeast Asia","Austroasiatic"
"213","nucl1347","Wolof",430575,14,0.0135897624467754,"African Savannah","Atlantic-Congo"
"214","wuch1236","Wu",463413,9,0.0123349556559829,"Southeast Asia","Sino-Tibetan"
"215","kalm1243","Oriat",294695,8,0.00681818648174048,"Inner Asia","Mongolic"
"216","nugu1242","Gunu",487151.5,14,0.0171731030205905,"African Savannah","Atlantic-Congo"
"217","yoru1245","Yoruba",403219,7,0.0177036213131313,"African Savannah","Atlantic-Congo"
"218","yuec1235","Cantonese",317687.5,11,0.0149754553350816,"Southeast Asia","Sino-Tibetan"
"219","isth1244","Juchitan Zapotec",318300,5,0.0160060400019425,"Mesoamerica","Otomanguean"
