"","X","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore","ANU.Tones","Tones.diff","specH.mean.center"
"122",122,"bariba","bba","aa",669,TRUE,2,12,31,18,19,"baat1238","Atlantic-Congo",9.63186,2.99607,52,97,0.0159099737643745,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,5,-3,0.49732702858602
"123",123,"Baruga","bjz","ph",1039,TRUE,0,10,24,14,14,"baru1269","Nuclear Trans New Guinea",-9.40132,148.761,42,173,0.0182786253146853,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","S New Guinea",21,0,0,1.01987757626608
"124",124,"basaa","bas","aa",670,TRUE,5,8,41,17,33,"basa1284","Atlantic-Congo",3.80765,10.4213,49,100,0.0180563223115773,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,5,0,0.970835092153222
"127",127,"Baule","bci","ph",1100,TRUE,0,7,23,11,16,"baou1238","Atlantic-Congo",5.42509,-4.76565,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,5,-5,0.987388093045052
"131",131,"Belait","beg","gm",1669,TRUE,0,6,25,13,19,"bela1260","Austronesian",4.96207,114.933,50,155,0.0191029030011655,"Austronesian","Austronesian","Southeast Asia",23,0,0,1.2017222872174
"133",133,"Belanda Viri","bvi","gm",1435,TRUE,5,10,43,17,33,"bela1255","Atlantic-Congo",7.41311,27.6956,51,110,0.0156155664749417,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,2,3,0.432377546964747
"134",134,"Belhare","byw","uz",2236,TRUE,0,8,36,17,28,"belh1239","Sino-Tibetan",26.9972,87.2783,61,141,0.0136147084446387,"Sino-Tibetan","Sino-Tibetan","Indic",22,0,0,-0.00903371060400818
"136",136,"Bemba","bem","ph",1188,TRUE,0,10,25,17,15,"bemb1257","Atlantic-Congo",-10.6122,29.2993,42,110,0.0116472053527584,"Atlantic-Congo","Atlantic-Congo","S Africa",21,2,-2,-0.443086502408422
"138",138,"Bengali","ben","uz",2162,TRUE,0,19,72,27,53,"beng1280","Indo-European",24,90,59,142,0.015961299199495,"Indo-European","Indo-European","Indic",22,0,0,0.50864998329779
"140",140,"Beria","zag","gm",1509,TRUE,3,9,33,17,24,"zagh1240","Saharan",17.4842,23.4626,56,107,0.00569122117657343,"Saharan","Saharan","African Savannah",23,5,-2,-1.75704202821416
"141",141,"berom","bom","aa",675,TRUE,0,7,31,14,24,"bero1242","Atlantic-Congo",9.67037,8.81221,52,100,0.0149418736264569,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,-4,0.283753505198166
"142",142,"bété","btg","aa",673,TRUE,2,26,51,33,25,"gagn1235","Atlantic-Congo",6.10051,-5.9701,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,-2,0.987388093045052
"144",144,"bɛ̀ŋ","nhb","aa",676,TRUE,6,19,49,28,30,"beng1286","Mande",7.78122,-4.23539,51,93,0.0173285097494172,"Mande","Mande","African Savannah",25,0,6,0.810271647135198
"146",146,"Biak","bhw","ph",1191,TRUE,0,10,24,16,14,"biak1248","Austronesian",-0.9523,135.879,47,166,0.0189714691161616,"Austronesian","Austronesian","N Coast New Guinea",21,0,0,1.17272652860382
"149",149,"Bikol (Bicolano)","bcl","gm",1695,TRUE,0,5,28,14,23,"cent2087","Austronesian",13.7574,123.403,54,160,0.0189896166647242,"Austronesian","Austronesian","Oceania",23,0,0,1.17673007713724
"151",151,"Biloxi","bll","ph",1104,TRUE,0,8,20,12,12,"bilo1248","Siouan",31.32,-89.1951,63,48,0.0139160917060995,"Siouan","Siouan","E North America",21,2,-2,0.0574547470660438
"153",153,"Binandere","bhg","ph",1193,TRUE,0,24,35,28,11,"bina1277","Nuclear Trans New Guinea",-8.37433,147.884,43,173,0.0175554056701632,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","S New Guinea",21,0,0,0.860327379324525
"154",154,"Binumarien","bjr","ph",872,TRUE,0,5,16,10,11,"binu1245","Nuclear Trans New Guinea",-6.22068,146.102,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",21,4,-4,0.612433733519557
